base_camp_id,team_id,training_site,city,country,lat,lon,utc_offset_june
62,EGY,Chivas Verde Valle,Guadalajara,Mexico,20.672,-103.3384,-6
21,PAR,Orlando City SC Training Grounds,Orlando,USA,28.5421,-81.379,-4
60,BRA,UNC Greensboro,Greensboro,USA,36.0684,-79.8106,-4
4,USA,UC Santa Barbara - Harder Stadium,Santa Barbara,USA,34.4221,-119.7027,-7
42,MEX,Kennesaw State University,Kennesaw,USA,34.0383,-84.5831,-4
3,SWE,San Antonio Stadium,San Antonio,USA,29.4092,-98.6018,-5
49,CAN,US Air Force Academy,Colorado Springs,USA,38.834,-104.8253,-6
1,AUT,Episcopal High School,Alexandria,USA,38.8262,-77.0984,-4
46,NZL,UNC Chapel Hill,Chapel Hill,USA,35.905,-79.0478,-4
19,ESP,OKC Professional Soccer Training Facility,Oklahoma City,USA,35.473,-97.5171,-5
33,KOR,Grand Park Sports Campus,Westfield,USA,42.1205,-72.7489,-4
7,URU,St. Louis CITY High Performance Centre,St. Louis,USA,38.6254,-90.19,-5
32,NOR,Houston Sports Park,Houston,USA,29.6381,-95.395,-5
28,BIH,La Loma Centro Deportivo Queretaro,Queretaro,Mexico,20.8052,-99.8837,-6
34,SCO,Great Park Sports Complex,Irvine,USA,33.6719,-117.7412,-7
11,CPV,Club Santos Facilities,Torreon,Mexico,25.5427,-103.4105,-6
5,QAT,Westmont College,Santa Barbara,USA,34.4504,-119.6615,-7
71,BEL,Nashville SC Training Facility,Nashville,USA,36.1623,-86.7743,-5
64,NED,Columbia Park Training Facility,Morristown,USA,40.797,-74.481,-4
48,COD,FC Cincinnati Training,Cincinnati,USA,39.1013,-84.5127,-4
47,RSA,Baylor School,Chattanooga,USA,35.0875,-85.3372,-4
20,CIV,University of Oklahoma,Norman,USA,35.196,-97.4457,-5
40,JOR,Arizona Athletic Grounds,Mesa,USA,33.3001,-111.6263,-7
69,CZE,Bryant University,Smithfield,USA,41.9221,-71.5372,-4
8,PAN,Saint Louis University,St. Louis,USA,38.6354,-90.2318,-5
25,JPN,Philadelphia Union Training Facility,Chester,USA,39.9829,-75.7652,-4
73,ARG,University of San Diego - Torero Stadium,San Diego,USA,32.7174,-117.1628,-7
68,COL,Wake Forest University,Winston-Salem,USA,36.1339,-80.2756,-4
16,ENG,Coastal Carolina University,Myrtle Beach,USA,33.6956,-78.89,-4
24,KSA,Gardens North County District Park,Palm Beach Gardens,USA,26.8234,-80.1387,-4
66,GER,Swope Soccer Village,Kansas City,USA,39.011,-94.5194,-5
51,MAR,Columbus Crew Performance Centre,Columbus,USA,39.9623,-83.0007,-4
65,CUW,National Soccer Development Centre,Vancouver,Canada,49.2571,-123.2402,-7
39,CRO,Mercer University,Macon,USA,32.8289,-83.6507,-4
30,GHA,RSL Stadium,Sandy,USA,40.571,-111.8954,-6
74,SUI,Nottawasaga Training Site,New Tecumseth,Canada,44.1542,-79.869,-4
23,TUN,CF Pachuca - Universidad del Futbol,Pachuca,Mexico,20.1165,-98.7414,-6
79,ALG,Mayakoba Training Centre,Cancun,Mexico,21.1527,-86.8426,-5
37,IRN,University of Kansas,Lawrence,USA,38.9535,-95.2631,-5
77,POR,Charlotte FC Training Facility,Charlotte,USA,35.2272,-80.8431,-4
38,FRA,Louisville City FC,Louisville,USA,38.2542,-85.7594,-4
18,AUS,Stockton University,Galloway,USA,39.4901,-74.534,-4
22,HAI,CF Pachuca - Estadio Hidalgo,Pachuca,Mexico,20.1165,-98.7414,-6
9,SEN,Penn State University - Jeffrey Field,State College,USA,40.7945,-77.8616,-4
53,UZB,FC Dallas Stadium,Frisco,USA,37.7879,-122.4075,-5
70,TUR,Centro Xoloitzcuintle,Tijuana,Mexico,32.5317,-117.0195,-7
43,ECU,Birmingham Legion FC Training Facility,Birmingham,USA,33.5207,-86.8024,-5
12,IRQ,Kino Sports Complex,Tucson,USA,32.1738,-110.9342,-7
