match,time,stadium
1,"('2026-06-22', '12:00')",GDL
2,"('2026-06-21', '15:00')",MEX
3,"('2026-06-15', '15:00')",TOR
4,"('2026-06-16', '13:00')",SEA
5,"('2026-06-18', '17:00')",NYC
6,"('2026-06-15', '15:00')",HOU
7,"('2026-06-18', '13:00')",MIA
8,"('2026-06-23', '12:00')",HOU
9,"('2026-06-17', '12:00')",BOS
10,"('2026-06-12', '19:00')",LAX
11,"('2026-06-18', '20:00')",LAX
12,"('2026-06-12', '19:00')",BOS
13,"('2026-06-14', '17:00')",MIA
14,"('2026-06-20', '19:00')",MIA
15,"('2026-06-14', '20:00')",MEX
16,"('2026-06-20', '19:00')",TOR
17,"('2026-06-13', '12:00')",PHI
18,"('2026-06-14', '12:00')",KC
19,"('2026-06-19', '21:00')",TOR
20,"('2026-06-27', '21:00')",MIA
21,"('2026-06-17', '21:00')",LAX
22,"('2026-06-23', '13:00')",KC
23,"('2026-06-23', '16:00')",PHI
24,"('2026-06-16', '20:00')",NYC
25,"('2026-06-27', '20:00')",MEX
26,"('2026-06-15', '12:00')",SEA
27,"('2026-06-11', '20:00')",MEX
28,"('2026-06-27', '12:00')",TOR
29,"('2026-06-11', '19:00')",BOS
30,"('2026-06-13', '12:00')",DAL
31,"('2026-06-23', '22:00')",TOR
32,"('2026-06-12', '19:00')",VAN
33,"('2026-06-19', '22:00')",MEX
34,"('2026-06-26', '22:00')",ATL
35,"('2026-06-26', '22:00')",DAL
36,"('2026-06-25', '12:00')",TOR
37,"('2026-06-27', '15:00')",HOU
38,"('2026-06-27', '15:00')",ATL
39,"('2026-06-27', '15:00')",NYC
40,"('2026-06-26', '15:00')",ATL
41,"('2026-06-13', '12:00')",SFO
42,"('2026-06-26', '20:00')",SFO
43,"('2026-06-26', '20:00')",PHI
44,"('2026-06-13', '12:00')",MEX
45,"('2026-06-27', '15:00')",BOS
46,"('2026-06-17', '12:00')",PHI
47,"('2026-06-17', '12:00')",KC
48,"('2026-06-27', '15:00')",SFO
49,"('2026-06-19', '19:00')",ATL
50,"('2026-06-13', '22:00')",GDL
51,"('2026-06-13', '22:00')",BOS
52,"('2026-06-27', '19:00')",TOR
53,"('2026-06-27', '22:00')",GDL
54,"('2026-06-27', '22:00')",VAN
55,"('2026-06-13', '12:00')",HOU
56,"('2026-06-12', '16:00')",SFO
57,"('2026-06-16', '20:00')",GDL
58,"('2026-06-16', '15:00')",HOU
59,"('2026-06-27', '22:00')",KC
60,"('2026-06-27', '22:00')",NYC
61,"('2026-06-20', '20:00')",PHI
62,"('2026-06-17', '19:00')",ATL
63,"('2026-06-21', '19:00')",MIA
64,"('2026-06-19', '20:00')",SFO
65,"('2026-06-12', '12:00')",NYC
66,"('2026-06-11', '16:00')",KC
67,"('2026-06-11', '15:00')",DAL
68,"('2026-06-11', '17:00')",HOU
69,"('2026-06-13', '12:00')",VAN
70,"('2026-06-22', '19:00')",MIA
71,"('2026-06-27', '17:00')",LAX
72,"('2026-06-24', '16:00')",ATL
